ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4808,2019/02/27 15:05:05+00,9.56,9.09,9.98,12.43,15.45,8.96,8.76,51,63,1011.49,Chapel Hill Public Library,outside,35.932522,-79.035728,18580
4809,2019/02/27 16:05:00+00,11.55,12.32,11.54,12.12,15.01,9.04,8.77,54,61,1011.68,Chapel Hill Public Library,outside,35.932522,-79.035728,1710
4810,2019/02/27 17:05:30+00,13.46,14.11,13.31,12.93,14.85,9.17,8.79,54,57,1010.46,Chapel Hill Public Library,outside,35.932522,-79.035728,5340
4811,2019/02/27 18:05:08+00,13.59,14.08,13.73,13.35,14.75,9.29,8.81,58,56,1009.4,Chapel Hill Public Library,outside,35.932522,-79.035728,1630
4812,2019/02/27 19:02:48+00,14.49,14.96,14.53,14.01,14.75,9.42,8.83,57,57,1008.26,Chapel Hill Public Library,outside,35.932522,-79.035728,110
4813,2019/02/27 20:05:08+00,12.38,13.43,13.9,13.91,14.66,9.55,8.85,56,58,1007.15,Chapel Hill Public Library,outside,35.932522,-79.035728,3850
4814,2019/02/27 21:04:50+00,18.11,15.13,14.3,14.09,14.64,9.64,8.87,57,57,1006.3,Chapel Hill Public Library,outside,35.932522,-79.035728,2375
4815,2019/02/07 07:04:25+00,23.92,24.17,25.75,26.78,22.96,19.09,14.11,72,63,1004.37,Chapel Hill Public Library,outside,35.932522,-79.035728,270
4816,2019/03/12 19:04:05+00,1.3,1.04,1.03,1.08,2.8,9.96,11.59,66,17,1011.59,Chapel Hill Public Library,outside,35.932522,-79.035728,5800
4817,2019/03/12 20:04:17+00,1.31,1.46,1.29,1.22,2.69,9.79,11.56,67,18,1011.36,Chapel Hill Public Library,outside,35.932522,-79.035728,270
